question,difficulty
What is a computer?,Easy
Define operating system,Easy
What is an algorithm?,Easy
What is data?,Easy
Define software,Easy
What is hardware?,Easy
What is a database?,Easy
Define machine learning,Easy
What is artificial intelligence?,Easy
What is cloud computing?,Easy
What is the full form of CPU?,Easy
Define RAM,Easy
What is ROM?,Easy
What is an array?,Easy
What is a compiler?,Easy
Define programming language,Easy
What is the internet?,Easy
What is a network?,Easy
Define cybersecurity,Easy
What is an IP address?,Easy
What is a function?,Easy
What is an object in OOP?,Easy
Define class in OOP,Easy
What is a variable?,Easy
What is Python?,Easy
Define data structure,Easy
What is HTML?,Easy
What is SQL?,Easy
Define software engineering,Easy
What is an operating system kernel?,Easy
question,difficulty
Explain the working of a computer system,Medium
Explain the functions of operating system,Medium
Compare RAM and ROM,Medium
Explain types of operating systems,Medium
Describe client server architecture,Medium
Explain supervised and unsupervised learning,Medium
Explain the working of CPU,Medium
Describe features of cloud computing,Medium
Explain normalization in DBMS,Medium
Explain ACID properties in DBMS,Medium
Explain stack and queue,Medium
Explain inheritance in OOP with example,Medium
Explain polymorphism in OOP,Medium
Describe TCP/IP model,Medium
Explain hashing technique,Medium
Explain paging in operating system,Medium
Explain scheduling algorithms in OS,Medium
Describe relational database model,Medium
Explain software development life cycle,Medium
Explain MVC architecture,Medium
Explain recursion with example,Medium
Explain exception handling in Python,Medium
Explain data abstraction,Medium
Explain features of Python,Medium
Explain types of software testing,Medium
Describe virtual memory,Medium
Explain deadlock concept,Medium
Explain machine learning workflow,Medium
Explain REST API,Medium
Explain data preprocessing in machine learning,Medium
Analyze the performance of different sorting algorithms,Hard
Derive time complexity of merge sort,Hard
Explain and analyze deadlock prevention techniques,Hard
Design a library management system using OOP concepts,Hard
Analyze advantages and disadvantages of cloud computing,Hard
Explain backpropagation algorithm in neural networks,Hard
Derive and explain Ohm’s law,Hard
Explain RSA encryption algorithm with example,Hard
Analyze security challenges in cloud computing,Hard
Design a database schema for hospital management system,Hard
Explain CAP theorem in distributed systems,Hard
Analyze paging vs segmentation in operating systems,Hard
Explain Dijkstra’s algorithm with complexity analysis,Hard
Analyze machine learning model overfitting and underfitting,Hard
Explain blockchain working with security analysis,Hard
Derive Bernoulli’s equation and explain applications,Hard
Analyze time and space complexity of quick sort,Hard
Explain microservices architecture and its challenges,Hard
Design an efficient network security model,Hard
Analyze ethical issues in artificial intelligence,Hard
Explain convolutional neural networks in detail,Hard
Analyze differences between SQL and NoSQL databases,Hard
Explain deadlock detection and recovery algorithms,Hard
Design an online examination system architecture,Hard
Analyze impact of AI on healthcare industry,Hard
Explain natural language processing pipeline in detail,Hard
Analyze advantages of distributed databases,Hard
Explain recommendation system algorithms,Hard
Design a scalable cloud-based application,Hard
Evaluate performance of different machine learning models,Hard
What is a loop?,Easy
Define recursion,Easy
What is an interpreter?,Easy
What is a pointer?,Easy
Define binary number system,Easy
What is a flowchart?,Easy
What is debugging?,Easy
Define data type,Easy
question,difficulty
What is a computer?,Easy
Define operating system,Easy
What is an algorithm?,Easy
What is data?,Easy
Define software,Easy
What is hardware?,Easy
What is a database?,Easy
Define machine learning,Easy
What is artificial intelligence?,Easy
What is cloud computing?,Easy
What is the full form of CPU?,Easy
Define RAM,Easy
What is ROM?,Easy
What is an array?,Easy
What is a compiler?,Easy
Define programming language,Easy
What is the internet?,Easy
What is a network?,Easy
Define cybersecurity,Easy
What is an IP address?,Easy
What is a function?,Easy
What is an object in OOP?,Easy
Define class in OOP,Easy
What is a variable?,Easy
What is Python?,Easy
Define data structure,Easy
What is HTML?,Easy
What is SQL?,Easy
Define software engineering,Easy
What is an operating system kernel?,Easy
question,difficulty
Explain the working of a computer system,Medium
Explain the functions of operating system,Medium
Compare RAM and ROM,Medium
Explain types of operating systems,Medium
Describe client server architecture,Medium
Explain supervised and unsupervised learning,Medium
Explain the working of CPU,Medium
Describe features of cloud computing,Medium
Explain normalization in DBMS,Medium
Explain ACID properties in DBMS,Medium
Explain stack and queue,Medium
Explain inheritance in OOP with example,Medium
Explain polymorphism in OOP,Medium
Describe TCP/IP model,Medium
Explain hashing technique,Medium
Explain paging in operating system,Medium
Explain scheduling algorithms in OS,Medium
Describe relational database model,Medium
Explain software development life cycle,Medium
Explain MVC architecture,Medium
Explain recursion with example,Medium
Explain exception handling in Python,Medium
Explain data abstraction,Medium
Explain features of Python,Medium
Explain types of software testing,Medium
Describe virtual memory,Medium
Explain deadlock concept,Medium
Explain machine learning workflow,Medium
Explain REST API,Medium
Explain data preprocessing in machine learning,Medium
Analyze the performance of different sorting algorithms,Hard
Derive time complexity of merge sort,Hard
Explain and analyze deadlock prevention techniques,Hard
Design a library management system using OOP concepts,Hard
Analyze advantages and disadvantages of cloud computing,Hard
Explain backpropagation algorithm in neural networks,Hard
Derive and explain Ohm’s law,Hard
Explain RSA encryption algorithm with example,Hard
Analyze security challenges in cloud computing,Hard
Design a database schema for hospital management system,Hard
Explain CAP theorem in distributed systems,Hard
Analyze paging vs segmentation in operating systems,Hard
Explain Dijkstra’s algorithm with complexity analysis,Hard
Analyze machine learning model overfitting and underfitting,Hard
Explain blockchain working with security analysis,Hard
Derive Bernoulli’s equation and explain applications,Hard
Analyze time and space complexity of quick sort,Hard
Explain microservices architecture and its challenges,Hard
Design an efficient network security model,Hard
Analyze ethical issues in artificial intelligence,Hard
Explain convolutional neural networks in detail,Hard
Analyze differences between SQL and NoSQL databases,Hard
Explain deadlock detection and recovery algorithms,Hard
Design an online examination system architecture,Hard
Analyze impact of AI on healthcare industry,Hard
Explain natural language processing pipeline in detail,Hard
Analyze advantages of distributed databases,Hard
Explain recommendation system algorithms,Hard
Design a scalable cloud-based application,Hard
Evaluate performance of different machine learning models,Hard
What is a loop?,Easy
Define recursion,Easy
What is an interpreter?,Easy
What is a pointer?,Easy
Define binary number system,Easy
What is a flowchart?,Easy
What is debugging?,Easy
Define data type,Easy
What is an API?,Easy
What is virtualization?,Easy
Define network topology,Easy
What is encryption?,Easy
What is a firewall?,Easy
Define Boolean logic,Easy
What is an IDE?,Easy
What is open source software?,Easy
Define operating system process,Easy
What is multitasking?,Easy
What is cache memory?,Easy
Explain binary search algorithm,Medium
Explain quick sort algorithm,Medium
Explain linked list operations,Medium
Describe memory management techniques,Medium
Explain network layers in OSI model,Medium
Explain encryption and decryption process,Medium
Explain role of compiler phases,Medium
Explain features of object oriented programming,Medium
Describe relational algebra,Medium
Explain cloud service models,Medium
Explain file system organization,Medium
Explain data warehousing concept,Medium
Describe decision tree algorithm,Medium
Explain naive Bayes classifier,Medium
Explain agile software development model,Medium
Explain concurrency in operating systems,Medium
Explain virtualization techniques,Medium
Explain socket programming basics,Medium
Explain API authentication methods,Medium
Analyze security vulnerabilities in web applications,Hard
Explain LSTM architecture with use cases,Hard
Analyze big data processing frameworks,Hard
Design a fault tolerant distributed system,Hard
Explain MapReduce programming model,Hard
Analyze load balancing algorithms in networks,Hard
Explain reinforcement learning with examples,Hard
Design a real-time chat application architecture,Hard
Analyze containerization vs virtualization,Hard
Explain genetic algorithms with applications,Hard
Analyze intrusion detection systems,Hard
Explain transfer learning techniques,Hard
Design a recommendation engine for e-commerce,Hard
Analyze challenges in IoT security,Hard
Explain federated learning concept,Hard
Analyze performance of cloud scheduling algorithms,Hard
Design a machine learning pipeline for prediction,Hard
Explain data privacy issues in AI systems,Hard
Analyze scalability challenges in distributed systems,Hard
What is biology?,Easy
Define cell,Easy
Who is known as the father of biology?,Easy
What is photosynthesis?,Easy
Define respiration,Easy
What is a tissue?,Easy
What is an organ?,Easy
Define nucleus,Easy
What is cytoplasm?,Easy
What is a cell membrane?,Easy
What is mitosis?,Easy
Define meiosis,Easy
What is DNA?,Easy
What is RNA?,Easy
Define chromosome,Easy
What is heredity?,Easy
Define gene,Easy
What is a protein?,Easy
What is an enzyme?,Easy
Define metabolism,Easy
What is blood?,Easy
What is a neuron?,Easy
What is the heart?,Easy
Define artery,Easy
Define vein,Easy
What is respiration?,Easy
What is digestion?,Easy
Define photosystem,Easy
What is chlorophyll?,Easy
What is transpiration?,Easy
What is pollination?,Easy
Define fertilization,Easy
What is germination?,Easy
What is an ecosystem?,Easy
Define population,Easy
Define community,Easy
What is a food chain?,Easy
What is a food web?,Easy
What is biodiversity?,Easy
Define conservation,Easy
What is ecology?,Easy
What is a virus?,Easy
Define bacteria,Easy
What is fungi?,Easy
What is protozoa?,Easy
What is algae?,Easy
Define vaccination,Easy
What is immunity?,Easy
Define antibiotic,Easy
What is a vaccine?,Easy
Explain the structure of a plant cell,Medium
Explain the structure of an animal cell,Medium
Describe the process of photosynthesis,Medium
Explain cellular respiration,Medium
Describe the phases of mitosis,Medium
Explain the stages of meiosis,Medium
Explain the structure of DNA,Medium
Describe transcription and translation,Medium
Explain Mendel’s laws of inheritance,Medium
Describe monohybrid cross,Medium
Explain the role of enzymes,Medium
Describe the human digestive system,Medium
Explain the human respiratory system,Medium
Describe the structure of the human heart,Medium
Explain blood circulation in humans,Medium
Describe the nervous system,Medium
Explain reflex action,Medium
Describe the endocrine system,Medium
Explain the role of hormones,Medium
Describe the excretory system in humans,Medium
Explain transpiration in plants,Medium
Describe mineral nutrition in plants,Medium
Explain water transport in plants,Medium
Describe pollination and fertilization,Medium
Explain seed germination,Medium
Describe ecological pyramids,Medium
Explain food chains and food webs,Medium
Describe biogeochemical cycles,Medium
Explain nitrogen cycle,Medium
Describe population growth,Medium
Explain ecological succession,Medium
Describe adaptations in desert plants,Medium
Explain parasitism with examples,Medium
Describe symbiosis,Medium
Explain human immune system,Medium
Describe innate and acquired immunity,Medium
Explain vaccination process,Medium
Describe types of bacteria,Medium
Explain virus structure and replication,Medium
Describe biotechnology applications,Medium
Explain genetic engineering,Medium
Describe recombinant DNA technology,Medium
Explain PCR technique,Medium
Describe cloning process,Medium
Explain tissue culture technique,Medium
Describe biodiversity conservation methods,Medium
Explain environmental pollution effects,Medium
Describe greenhouse effect,Medium
Explain global warming,Medium
question,difficulty
What is life?,Easy
Define protoplasm,Easy
What is a unicellular organism?,Easy
What is a multicellular organism?,Easy
Define organelle,Easy
What is ribosome?,Easy
What is endoplasmic reticulum?,Easy
Define Golgi apparatus,Easy
What is lysosome?,Easy
What is vacuole?,Easy
Define diffusion,Easy
What is osmosis?,Easy
Define active transport,Easy
What is a stomata?,Easy
Define xylem,Easy
Define phloem,Easy
What is transpiration stream?,Easy
What is a seed?,Easy
What is fruit?,Easy
Define vegetative reproduction,Easy
What is asexual reproduction?,Easy
Define sexual reproduction,Easy
What is fertilization?,Easy
What is embryo?,Easy
Define placenta,Easy
What is menstruation?,Easy
Define ovulation,Easy
What is sperm?,Easy
What is ovum?,Easy
Define puberty,Easy
What is skeletal system?,Easy
Define muscle tissue,Easy
What is voluntary muscle?,Easy
What is involuntary muscle?,Easy
Define cardiac muscle,Easy
What is bone marrow?,Easy
Define immunity cells,Easy
What is antigen?,Easy
What is antibody?,Easy
Define pathogen,Easy
What is parasite?,Easy
What is host?,Easy
Define symbiosis,Easy
What is commensalism?,Easy
Define mutualism,Easy
What is ecosystem balance?,Easy
What is habitat?,Easy
Define biosphere,Easy
What is conservation biology?,Easy
question,difficulty
Explain the structure of mitochondria,Medium
Describe functions of Golgi apparatus,Medium
Explain fluid mosaic model,Medium
Describe transport of materials across membrane,Medium
Explain diffusion and osmosis with examples,Medium
Describe structure of leaf,Medium
Explain transpiration mechanism,Medium
Describe ascent of sap,Medium
Explain absorption of water in plants,Medium
Describe photosynthetic pigments,Medium
Explain light reaction of photosynthesis,Medium
Describe dark reaction of photosynthesis,Medium
